transportation_bureau,prefectures_name,route_name,rc_name,rc_kana,rc_address,lat,lng
近畿,兵庫,山陽列車線,東谷上,ひがしたにがみ,兵庫県明石市魚住町長坂寺字五反田442,0,0
近畿,兵庫,山陽列車線,地西,じにし,兵庫県明石市魚住町長坂寺字越前259-4,0,0
近畿,兵庫,山陽列車線,向山西,むかいやまにし,兵庫県明石市魚住町中尾字新田609,0,0
近畿,兵庫,山陽列車線,山の神第二,やまのかみだいに,兵庫県明石市魚住町西岡字アタマ503-18,0,0
近畿,兵庫,山陽列車線,山の神第四,やまのかみだいよん,兵庫県明石市魚住町西岡字山畑502-7,0,0
近畿,兵庫,山陽列車線,猪之方谷第一,いのこだにだいいち,兵庫県明石市魚住町西岡字戊ノ方谷2177-4,0,0
近畿,兵庫,山陽列車線,向川第一,むかいがわだいいち,兵庫県明石市二見町福里字高野161-1,0,0
近畿,兵庫,山陽列車線,大道里第二,だいどうさとだいに,兵庫県明石市二見町福里字大道里320-2,0,0
近畿,兵庫,山陽列車線,西上岡,にしかみおか,兵庫県明石市二見町西二見字中上岡2027-1,0,0
近畿,兵庫,山陽列車線,鉄鋳場,てっちゅうば,兵庫県播磨町野添字鉄鋳場1701-8,0,0
近畿,兵庫,山陽列車線,薬師浦第二,やくしうらだいに,兵庫県加古川市平岡町土山字南浦978-1,0,0
近畿,兵庫,山陽列車線,勝負中,しょうぶなか,兵庫県加古川市平岡町土山字勝負881-3,0,0
近畿,兵庫,山陽列車線,勝負下,しょうぶした,兵庫県加古川市平岡町土山字勝負853-2,0,0
近畿,兵庫,山陽列車線,馬場田三,ばばださん,兵庫県加古川市平岡町高畑字馬場田686-3,0,0
近畿,兵庫,山陽列車線,長ヶ林東,ちょうがばやしひがし,兵庫県加古川市平岡町高畑字長林820-4,0,0
近畿,兵庫,山陽列車線,大割上,おおわりかみ,兵庫県加古川市平岡町西谷字大割26-2,0,0
近畿,兵庫,山陽列車線,上土堤一,かみどていち,兵庫県加古川市平岡町新在家字上戸手1567-8,0,0
近畿,兵庫,山陽列車線,広畑東,ひろはたひがし,兵庫県加古川市平岡町新在家字広畑823-2,0,0
近畿,兵庫,山陽列車線,宮東第一,みやひがしだいいち,兵庫県加古川市野口町野口字大坪305-9,0,0
近畿,兵庫,山陽列車線,宮東第三,みやひがしだいさん,兵庫県加古川市野口町北野字宮の前352-2,0,0
近畿,兵庫,山陽列車線,辻東上,つじひがしかみ,兵庫県加古川市野口町野口字古屋敷416-1,0,0
近畿,兵庫,山陽列車線,辻東下,つじひがしした,兵庫県加古川市野口町野口字辻の東855-1,0,0
近畿,兵庫,山陽列車線,出張中,でばりなか,兵庫県加古川市東神吉町西井之口字出張885-1,0,0
近畿,兵庫,山陽列車線,棚田上,たなだかみ,兵庫県加古川市米田町平津字谷田231-2,0,0
近畿,兵庫,山陽列車線,一の坪,いちのつぼ,兵庫県高砂市米田町神瓜字一の坪106-1,0,0
近畿,兵庫,山陽列車線,東川,あずまがわ,兵庫県高砂市米田町島字才田47-1,0,0
近畿,兵庫,山陽列車線,松本西,まつもとにし,兵庫県高砂市阿弥陀町魚橋字壱丁田323-2,0,0
近畿,兵庫,山陽列車線,尾の下東,おのしたひがし,兵庫県高砂市阿弥陀町魚橋字茶屋前502-1,0,0
近畿,兵庫,山陽列車線,池崎東,いけざきひがし,兵庫県高砂市阿弥陀町魚橋字池崎1042-1,0,0
近畿,兵庫,山陽列車線,向沖東,むかいおきひがし,兵庫県高砂市阿弥陀町南池字庄境12-1,0,0
近畿,兵庫,山陽列車線,阿弥陀,あみだ,兵庫県高砂市阿弥陀町阿弥陀字南出口1365-3,0,0
近畿,兵庫,山陽列車線,高尾東,たかおひがし,兵庫県高砂市阿弥陀町字高尾東1749-2,0,0
近畿,兵庫,山陽列車線,村南一,むらみなみいち,兵庫県高砂市阿弥陀町字寺ノ前2845-2,0,0
近畿,兵庫,山陽列車線,金ケ田,かなげだ,兵庫県高砂市阿弥陀町阿弥陀1丁目2556-2,34.793637,134.780077
近畿,兵庫,山陽列車線,法華原一,ほっけはらいち,兵庫県姫路市別所町小林字法ヶ原337-2,0,0
近畿,兵庫,山陽列車線,黒畑上,くろばたかみ,兵庫県姫路市別所町北宿字堂田1126-2,0,0
近畿,兵庫,山陽電車線,東田上,ひがしたがみ,兵庫県垂水区西舞子2-3-2,34.637025,135.030432
近畿,兵庫,山陽電車線,西川下,にしかわしも,兵庫県垂水区西舞子5-1-7,0,0
近畿,兵庫,山陽電車線,大谷上甲,おおたにがみこう,兵庫県垂水区西舞子6丁目,34.642752,135.024821
近畿,兵庫,山陽列車線,一の手西,いちのてにし,兵庫県須磨区松風町7-1-8,0,0
近畿,兵庫,山陽列車線,離宮道,りきゅうみち,兵庫県須磨区行幸2-2-14,34.644828,135.121587
近畿,兵庫,山陽列車線,西天神,にしてんじん,兵庫県須磨区須磨浦通り2-1-30,34.643123,135.112963
近畿,兵庫,山陽列車線,宿道上,やどのみちうえ,兵庫県須磨区須磨浦2-3-20,0,0
近畿,兵庫,山陽列車線,千守,ちもり,兵庫県須磨区須磨浦3-3-11,0,0
近畿,兵庫,山陽列車線,須磨浦,すまうら,兵庫県須磨区須磨浦6-1-5,0,0
近畿,兵庫,姫新線,西延末,にしのぶすえ,兵庫県姫路市西延末字加々杭392-11,0,0
近畿,兵庫,姫新線,胄山,かぶとやま,兵庫県姫路市西延末字胄341-2,0,0
近畿,兵庫,姫新線,胄山弐,かぶとやまに,兵庫県姫路市西延末字伏田203-3,0,0
近畿,兵庫,姫新線,西庄東,にししょうひがし,兵庫県姫路市西庄字九堀121-3,0,0
近畿,兵庫,姫新線,西庄西,にししょうにし,兵庫県姫路市西庄字九堀121-3,0,0
近畿,兵庫,姫新線,八町,はっちょう,兵庫県姫路市西庄字九堀154-3,0,0
近畿,兵庫,姫新線,前川一,まえかわいち,兵庫県姫路市土山四丁目630-2,34.832388,134.669186
